location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20240111T0100,-3.3797545
20240111T0200,-3.519755
20240111T0300,-3.5397549
20240111T0400,-3.4497547
20240111T0500,-4.0097547
20240111T0600,-4.1097546
20240111T0700,-4.369755
20240111T0800,-3.8697548
20240111T0900,-2.4897547
20240111T1000,-3.6697545
20240111T1100,-2.1897545
20240111T1200,-1.4197546
20240111T1300,-0.8197546
20240111T1400,-0.97975457
20240111T1500,-2.3597546
20240111T1600,-2.8797545
20240111T1700,-4.309755
20240111T1800,-4.1297545
20240111T1900,-5.0697546
20240111T2000,-4.8597546
20240111T2100,-4.459755
20240111T2200,-4.559755
20240111T2300,-4.829755
20240112T0000,-5.1897545
20240112T0100,-5.309755
20240112T0200,-5.4897547
20240112T0300,-5.559755
20240112T0400,-5.639755
20240112T0500,-6.1097546
20240112T0600,-6.4697547
20240112T0700,-6.389755
20240112T0800,-5.209755
20240112T0900,-3.5397549
20240112T1000,-2.9297547
20240112T1100,-3.6797547
20240112T1200,-2.6397548
20240112T1300,-2.0997548
20240112T1400,-2.2197547
20240112T1500,-2.8197546
20240112T1600,-3.8997545
20240112T1700,-4.289755
20240112T1800,-3.769755
20240112T1900,-4.3997545
20240112T2000,-4.6097546
20240112T2100,-4.3397546
20240112T2200,-5.1997547
20240112T2300,-5.5697546
20240113T0000,-5.289755
20240113T0100,-4.6597548
20240113T0200,-4.7597547
20240113T0300,-4.849755
20240113T0400,-5.1697545
20240113T0500,-5.7197547
20240113T0600,-6.119755
20240113T0700,-6.039755
20240113T0800,-7.249755
20240113T0900,-7.269755
20240113T1000,-5.0697546
20240113T1100,-3.9197545
20240113T1200,-2.9497547
20240113T1300,-2.4497547
20240113T1400,-2.0897546
20240113T1500,-1.8897547
20240113T1600,-1.9797546
20240113T1700,-3.769755
20240113T1800,-4.709755
20240113T1900,-4.709755
20240113T2000,-4.749755
20240113T2100,-4.869755
20240113T2200,-4.8997545
20240113T2300,-5.1497545
20240114T0000,-5.269755
20240114T0100,-5.619755
20240114T0200,-6.099755
20240114T0300,-6.349755
20240114T0400,-6.499755
20240114T0500,-6.459755
20240114T0600,-6.6597548
20240114T0700,-6.6297545
20240114T0800,-6.079755
20240114T0900,-4.829755
20240114T1000,-5.209755
20240114T1100,-2.8397546
20240114T1200,-1.1997546
20240114T1300,-0.8097546
20240114T1400,0.1202454
20240114T1500,-0.9197546
20240114T1600,-1.7597545
20240114T1700,-1.1197546
20240114T1800,-0.75975454
20240114T1900,-0.48975456
20240114T2000,-0.6797546
20240114T2100,-0.3097546
20240114T2200,-0.51975465
20240114T2300,-0.49975455
20240115T0000,-1.0097545
20240115T0100,-1.0997546
20240115T0200,-1.0197546
20240115T0300,-1.1397547
